student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38125885,Trimester 1,0,2,0,0,0,0,0,0,0,0,1,0,1
38126131,Trimester 1,0,1,0,1,0,0,0,0,0,0,1,0,2
38126476,Trimester 1,0,1,0,0,0,0,0,2,0,0,0,0,1
38126487,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,0,1
38126499,Trimester 1,0,2,0,0,1,0,1,0,0,0,1,0,0
38126500,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38126514,Trimester 1,0,1,1,0,0,0,0,1,0,0,0,0,1
38126522,Trimester 1,0,2,0,0,0,0,0,0,0,0,1,0,1
38126537,Trimester 1,0,1,0,0,0,0,0,0,0,0,0,0,2
38126581,Trimester 1,0,0,0,1,1,0,0,2,0,0,0,0,0
38126584,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,2
38126588,Trimester 1,0,1,0,0,3,0,0,0,0,0,0,0,1
38126602,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38126603,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,0
38126658,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38126662,Trimester 1,0,1,0,0,0,0,0,0,0,1,0,0,1
38126693,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38126723,Trimester 1,0,1,0,0,1,0,0,2,0,0,0,0,0
38126730,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38126785,Trimester 1,0,2,0,0,0,0,0,3,1,0,0,0,0
38126786,Trimester 1,0,1,0,1,1,0,0,0,0,1,1,0,1
38126789,Trimester 1,0,1,0,0,0,0,1,0,0,1,1,0,1
38126798,Trimester 1,0,1,1,0,0,0,0,1,0,0,1,0,1
38126801,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,0
38126827,Trimester 1,0,1,0,0,0,0,0,0,0,0,0,0,1
38126846,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,0,1
38126848,Trimester 1,0,1,0,0,0,0,1,0,1,0,1,0,0
38126849,Trimester 1,0,1,0,0,0,1,0,1,0,0,0,0,1
38126851,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38126877,Trimester 1,0,1,0,1,0,0,0,0,0,0,1,0,1
38126927,Trimester 1,0,2,1,0,0,0,1,0,0,0,0,0,1
38126928,Trimester 1,0,1,0,0,1,0,0,0,0,0,1,0,1
38126945,Trimester 1,0,1,0,0,1,0,0,2,0,0,0,0,0
38126988,Trimester 1,0,1,0,0,1,0,0,1,0,0,1,0,0
38126994,Trimester 1,0,1,0,0,0,0,0,1,0,0,0,0,1
38127061,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,1
38127100,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38127116,Trimester 1,0,1,1,0,0,1,0,0,1,0,0,0,1
